sexo,idade,altura,peso,historico_obesidade_familia,consome_comida_calorica,consome_vegetais,n_refeicoes,come_entre_refeicoes,fuma,consumo_diario_agua,frequencia_atividade_fisica,tempo_usando_eletronicos,consumo_alcool,tipo_transporte
M,31.264628,1.803129,91.052215,sim,sim,,3.0,as vezes,nao,1.199517,,0.163329,as vezes,transporte publico
M,21.0,1.62,70.0,nao,sim,2.0,1.0,nao,nao,3.0,1.0,0.0,as vezes,transporte publico
F,18.019572,1.701378,50.088468,nao,sim,1.601236,3.433908,as vezes,nao,1.055019,0.819269,1.030848,as vezes,transporte publico
F,25.918524,1.621231,104.986792,sim,sim,3.0,,as vezes,nao,,0.139159,0.711331,as vezes,transporte publico
F,33.0,1.59,60.0,nao,sim,3.0,1.0,frequentemente,nao,2.0,0.0,0.0,nao,transporte publico
M,18.0,1.7,78.0,nao,sim,1.0,3.0,as vezes,nao,2.0,0.0,1.0,as vezes,transporte publico
F,19.126145,1.633794,77.858532,sim,nao,2.696381,3.0,as vezes,nao,2.472964,1.856119,1.0,as vezes,transporte publico
F,17.420269,1.489409,53.620604,nao,sim,1.836554,1.865238,as vezes,nao,2.0,0.320209,1.969507,as vezes,transporte publico
F,18.603496,1.681719,90.671871,sim,sim,1.524428,3.0,,nao,1.383831,0.130417,1.0,as vezes,transporte publico
M,,1.814182,85.301029,sim,sim,2.923916,3.335876,as vezes,nao,,1.305633,0.311436,as vezes,transporte publico
M,19.16097,1.662728,77.473204,sim,nao,2.008656,1.402771,as vezes,nao,3.0,0.112383,0.32803,as vezes,transporte publico
M,25.100513,1.830596,118.424156,sim,sim,1.455602,3.0,as vezes,nao,2.363307,1.144683,0.101026,as vezes,transporte publico
M,26.011928,1.777251,106.452367,sim,sim,3.0,3.0,as vezes,nao,1.911379,1.911096,1.032392,as vezes,transporte publico
M,23.0,1.715118,81.650778,sim,sim,2.0,1.976744,as vezes,nao,1.628997,0.880584,1.127675,as vezes,transporte publico
F,23.0,1.48,60.0,sim,sim,2.0,1.0,as vezes,sim,,0.0,0.0,as vezes,transporte publico
F,32.0,1.67,90.0,,sim,3.0,1.0,as vezes,nao,2.0,2.0,0.0,as vezes,carro
M,24.041043,1.613491,98.490766,sim,sim,3.0,2.120936,as vezes,nao,,1.543386,0.890213,nao,transporte publico
F,18.945961,1.605469,82.039,sim,sim,2.76533,3.0,as vezes,nao,,0.192559,0.720411,,transporte publico
M,22.0,1.7,70.0,sim,sim,2.0,3.0,as vezes,nao,1.0,0.0,1.0,as vezes,carro
F,19.317148,1.731195,49.650897,nao,sim,2.919751,3.576103,as vezes,nao,1.949308,1.940182,1.0,as vezes,transporte publico
M,21.0,1.62,70.0,nao,sim,2.0,1.0,nao,nao,3.0,1.0,0.0,as vezes,transporte publico
F,22.87795,1.66913,86.002736,sim,sim,2.290095,2.590283,as vezes,nao,2.506296,0.312254,1.0,,transporte publico
M,30.553097,1.780448,88.431954,,sim,2.0,1.178708,as vezes,nao,1.791286,0.893362,0.276364,as vezes,transporte publico
F,38.542937,1.517248,79.843221,sim,sim,2.0,3.0,as vezes,nao,1.095134,0.0,0.0,,carro
M,20.242237,1.75633,54.567343,sim,sim,2.0,3.98525,as vezes,nao,2.654078,2.113151,2.0,nao,transporte publico
M,33.0,1.85,99.0,sim,sim,2.0,3.0,as vezes,sim,3.0,1.0,0.0,as vezes,carro
M,22.0,1.75,70.0,nao,nao,2.0,3.0,as vezes,nao,3.0,1.0,1.0,nao,transporte publico
F,23.712641,1.742901,132.8071,sim,sim,3.0,3.0,as vezes,nao,2.856795,1.046463,0.586163,as vezes,transporte publico
M,33.070142,1.709428,83.014033,sim,sim,2.0,1.044628,as vezes,nao,2.01051,2.805801,0.0,,carro
F,25.908431,,103.026858,sim,sim,3.0,3.0,as vezes,nao,1.077253,0.162083,0.824607,as vezes,transporte publico
M,23.083621,1.848553,121.421121,sim,sim,3.0,2.567567,,nao,2.011023,0.916478,0.0,as vezes,transporte publico
F,21.02064,1.65,88.129437,sim,sim,2.870152,1.001383,as vezes,nao,3.0,1.322558,1.0,nao,transporte publico
M,25.492855,1.770124,114.163921,sim,,2.159033,3.0,as vezes,nao,2.116399,1.331526,0.052942,as vezes,
M,30.350516,1.860292,123.721352,sim,sim,2.002784,3.0,as vezes,nao,2.292906,1.034031,0.0,as vezes,carro
F,26.0,1.622703,111.216192,sim,sim,3.0,3.0,,nao,2.707201,0.0,0.167272,as vezes,transporte publico
M,19.0,1.78,81.0,sim,nao,1.0,3.0,as vezes,nao,2.0,3.0,0.0,nao,bicicleta
F,17.000433,1.584951,44.411801,nao,sim,2.737762,3.0,as vezes,nao,2.310921,2.240714,1.59257,as vezes,transporte publico
M,21.0,1.62,70.0,nao,sim,2.0,1.0,nao,nao,3.0,1.0,0.0,as vezes,transporte publico
F,17.0,1.63,65.0,nao,sim,2.0,1.0,as vezes,nao,3.0,1.0,1.0,nao,transporte publico
M,18.470562,1.856406,58.673963,sim,,2.34222,3.937099,as vezes,nao,2.311791,2.013377,1.128355,nao,carro
F,34.044229,1.665807,77.098973,sim,sim,2.976975,1.346987,as vezes,nao,1.868349,0.702538,0.879333,nao,carro
M,25.0,1.78,98.0,sim,nao,2.0,3.0,as vezes,nao,3.0,3.0,2.0,nao,transporte publico
M,29.713169,1.763259,113.215814,sim,sim,2.181057,3.0,as vezes,nao,2.08554,0.0,1.439004,as vezes,carro
,20.820455,1.547066,67.473282,sim,nao,2.303656,3.0,as vezes,nao,1.163111,1.926381,1.119877,nao,transporte publico
F,26.0,,111.00492,sim,sim,3.0,3.0,as vezes,nao,2.704315,0.0,0.322666,as vezes,transporte publico
F,25.706285,1.585547,80.351263,sim,sim,2.0,1.0,as vezes,nao,2.0,0.0,0.0,as vezes,transporte publico
M,20.0,1.6,56.0,nao,sim,2.0,3.0,as vezes,nao,,1.0,0.0,as vezes,transporte publico
F,38.547267,1.526472,75.150345,sim,sim,2.0,3.0,as vezes,nao,1.084442,0.0,0.0,as vezes,
F,28.977792,1.7,78.0,sim,sim,3.0,3.0,as vezes,nao,1.507638,1.82434,1.0,frequentemente,carro
